city,state,latitude,longitude,city_hi,state_hi
Coimbatore,Tamil Nadu,11.0168,76.9558,कोयंबटूर,तमिलनाडु
Cuddalore,Tamil Nadu,11.748,79.7714,कुड्डालोर,तमिलनाडु
Cuttack,Odisha,20.4625,85.883,कटक,ओडिशा
Damoh,Madhya Pradesh,23.8315,79.4421,दमोह,मध्य प्रदेश
Dausa,Rajasthan,26.8879,76.3364,दौसा,राजस्थान
Dehradun,Uttarakhand,30.3165,78.0322,देहरादून,उत्तराखंड
Delhi,Delhi,28.61,77.2,दिल्ली,दिल्ली
Dewas,Madhya Pradesh,22.9676,76.0534,देवास,मध्य प्रदेश
Dhanbad,Jharkhand,23.7957,86.4304,धनबाद,झारखंड
Dharuhera,Haryana,28.2013,76.7994,धारूहेड़ा,हरियाणा
Dharwad,Karnataka,15.4589,75.0078,धारवाड़,कर्नाटक
Dholpur,Rajasthan,26.7016,77.8938,धौलपुर,राजस्थान
Dhule,Maharashtra,20.9042,74.7749,धुले,महाराष्ट्र
Dombivli,Maharashtra,19.2183,73.0864,डोंबिवली,महाराष्ट्र
Dungarpur,Rajasthan,23.843,73.7147,डूंगरपुर,राजस्थान
Durgapur,West Bengal,23.5204,87.3119,दुर्गापुर,पश्चिम बंगाल
Eloor,Kerala,10.1333,76.3081,एलूर,केरल
Eluru,Andhra Pradesh,16.7107,81.0952,एलुरु,आंध्र प्रदेश
Faridabad,Haryana,28.4089,77.3178,फरीदाबाद,हरियाणा
Fatehabad,Haryana,29.5153,75.4535,फतेहाबाद,हरियाणा
Fatehpur sikri,Uttar Pradesh,27.094,77.6613,फतेहपुर सीकरी,उत्तर प्रदेश
Firozabad,Uttar Pradesh,27.1591,78.3958,फिरोजाबाद,उत्तर प्रदेश
Gadag,Karnataka,15.4319,75.635,गडग,कर्नाटक
Gajraula,Uttar Pradesh,28.8362,78.2352,गजरौला,उत्तर प्रदेश
Gandhinagar,Gujarat,23.2156,72.6369,गांधीनगर,गुजरात
Gangtok,Sikkim,27.3389,88.6065,गंगटोक,सिक्किम
Gaya,Bihar,24.7955,84.9994,गया,बिहार
Ghaziabad,Uttar Pradesh,28.6692,77.4538,गाजियाबाद,उत्तर प्रदेश
Gorakhpur,Uttar Pradesh,26.7606,83.3732,गोरखपुर,उत्तर प्रदेश
Greater noida,Uttar Pradesh,28.4744,77.504,ग्रेटर नोएडा,उत्तर प्रदेश
Gummidipoondi,Tamil Nadu,13.4041,80.1024,गुम्मिडिपूंडी,तमिलनाडु
Guntur,Andhra Pradesh,16.3067,80.4365,गुंटूर,आंध्र प्रदेश
Gurugram,Haryana,28.4595,77.0266,गुरुग्राम,हरियाणा
Guwahati,Assam,26.1445,91.7362,गुवाहाटी,असम
Gwalior,Madhya Pradesh,26.2183,78.1828,ग्वालियर,मध्य प्रदेश
Hajipur,Bihar,25.6941,85.2094,हाजीपुर,बिहार
Haldia,West Bengal,22.0257,88.0583,हल्दिया,पश्चिम बंगाल
Hanumangarh,Rajasthan,29.5814,74.3197,हनुमानगढ़,राजस्थान
Hapur,Uttar Pradesh,28.73,77.78,हापुड़,उत्तर प्रदेश
Hingoli,Maharashtra,19.7173,77.1489,हिंगोली,महाराष्ट्र
Hisar,Haryana,29.1492,75.7217,हिसार,हरियाणा
Howrah,West Bengal,22.5958,88.2636,हावड़ा,पश्चिम बंगाल
Hubballi,Karnataka,15.3647,75.124,हुबली,कर्नाटक
Hyderabad,Telangana,17.385,78.4867,हैदराबाद,तेलंगाना
Indore,Madhya Pradesh,22.7196,75.8577,इंदौर,मध्य प्रदेश
Jabalpur,Madhya Pradesh,23.1815,79.9864,जबलपुर,मध्य प्रदेश
Jaipur,Rajasthan,26.9124,75.7873,जयपुर,राजस्थान
Jaisalmer,Rajasthan,26.9157,70.9083,जैसलमेर,राजस्थान
Jalandhar,Punjab,31.326,75.5762,जालंधर,पंजाब
Jalgaon,Maharashtra,21.0077,75.5626,जलगांव,महाराष्ट्र
Jalna,Maharashtra,19.841,75.8864,जालना,महाराष्ट्र
Jalore,Rajasthan,25.352,72.6152,जालोर,राजस्थान
Jhalawar,Rajasthan,24.598,76.1633,झालावाड़,राजस्थान
Jhansi,Uttar Pradesh,25.4484,78.5685,झांसी,उत्तर प्रदेश
Jhunjhunu,Rajasthan,28.1289,75.3998,झुंझुनू,राजस्थान
Jind,Haryana,29.3157,76.314,जींद,हरियाणा
Jodhpur,Rajasthan,26.2389,73.0243,जोधपुर,राजस्थान
Jorapokhar,Jharkhand,23.71,86.41,जोरापोखर,झारखंड
Kadapa,Andhra Pradesh,14.4673,78.8242,कडपा,आंध्र प्रदेश
Kaithal,Haryana,29.8025,76.3997,कैथल,हरियाणा
Kakinada,Andhra Pradesh,16.9891,82.2475,काकीनाडा,आंध्र प्रदेश
Kalaburagi,Karnataka,17.3297,76.8343,कलबुर्गी,कर्नाटक
Kalyan,Maharashtra,19.2437,73.1355,कल्याण,महाराष्ट्र
Kannur,Kerala,11.8745,75.3704,कन्नूर,केरल
Kanpur,Uttar Pradesh,26.4499,80.3319,कानपुर,उत्तर प्रदेश
Karauli,Rajasthan,26.496,77.0266,करौली,राजस्थान
Karnal,Haryana,29.6857,76.9905,करनाल,हरियाणा
Karwar,Karnataka,14.8137,74.1291,कारवार,कर्नाटक
Kashipur,Uttarakhand,29.2145,78.9622,काशीपुर,उत्तराखंड
Katihar,Bihar,25.5393,87.5701,कटिहार,बिहार
Katni,Madhya Pradesh,23.834,80.395,कटनी,मध्य प्रदेश
Keonjhar,Odisha,21.6297,85.5817,केओंझर,ओडिशा
Khairthal,Rajasthan,27.988,76.621,खैरथल,राजस्थान
Khanna,Punjab,30.7046,76.2223,खन्ना,पंजाब
Khora,Uttar Pradesh,28.67,77.32,खोड़ा,उत्तर प्रदेश
Khurja,Uttar Pradesh,28.2536,77.8517,खुर्जा,उत्तर प्रदेश
Kishanganj,Bihar,26.0961,87.9451,किशनगंज,बिहार
Kohima,Nagaland,25.6751,94.1086,कोहिमा,नागालैंड
Kolhapur,Maharashtra,16.705,74.2433,कोल्हापुर,महाराष्ट्र
Kolkata,West Bengal,22.5726,88.3639,कोलकाता,पश्चिम बंगाल
Korba,Chhattisgarh,22.3595,82.6825,कोरबा,छत्तीसगढ़
Kota,Rajasthan,25.2138,75.8648,कोटा,राजस्थान
Kunjemura,Chhattisgarh,22.07,82.24,कुंजेमुरा,छत्तीसगढ़
Kurnool,Andhra Pradesh,15.8281,78.0373,कुरनूल,आंध्र प्रदेश
Kurukshetra,Haryana,29.9695,76.8783,कुरुक्षेत्र,हरियाणा
Latur,Maharashtra,18.4088,76.5604,लातूर,महाराष्ट्र
Lucknow,Uttar Pradesh,26.8467,80.9462,लखनऊ,उत्तर प्रदेश
Ludhiana,Punjab,30.901,75.8573,लुधियाना,पंजाब
Machilipatnam,Andhra Pradesh,16.1875,81.1389,मछलीपट्टनम,आंध्र प्रदेश
Madikeri,Karnataka,12.4244,75.7382,मडिकेरी,कर्नाटक
Madurai,Tamil Nadu,9.9252,78.1198,मदुरै,तमिलनाडु
Mahad,Maharashtra,18.0818,73.4167,महाड,महाराष्ट्र
Maihar,Madhya Pradesh,24.2634,80.7605,मैहर,मध्य प्रदेश
Malegaon,Maharashtra,20.5537,74.5288,मालेगांव,महाराष्ट्र
Mandi gobindgarh,Punjab,30.67,76.296,मंडी गोबिंदगढ़,पंजाब
Mandideep,Madhya Pradesh,23.1085,77.5375,मंडीदीप,मध्य प्रदेश
Mandikhera,Haryana,27.99,76.68,मंडीखेड़ा,हरियाणा
Manesar,Haryana,28.3564,76.935,मानेसर,हरियाणा
Mangalore,Karnataka,12.9141,74.856,मंगलौर,कर्नाटक
Manguraha,Bihar,27.2,84.3,मंगुराहा,बिहार
Mathura,Uttar Pradesh,27.4924,77.6737,मथुरा,उत्तर प्रदेश
Meerut,Uttar Pradesh,28.9845,77.7064,मेरठ,उत्तर प्रदेश
Mehsana,Gujarat,23.588,72.3693,मेहसाणा,गुजरात
Milupara,Chhattisgarh,21.9,83.4,मिलूपारा,छत्तीसगढ़
Mira-bhayandar,Maharashtra,19.2952,72.8544,मीरा-भायंदर,महाराष्ट्र
Modinagar,Uttar Pradesh,28.8318,77.5735,मोदीनगर,उत्तर प्रदेश
Moradabad,Uttar Pradesh,28.8386,78.7733,मुरादाबाद,उत्तर प्रदेश
Motihari,Bihar,26.6485,84.9161,मोतिहारी,बिहार
Mumbai,Maharashtra,19.076,72.8777,मुंबई,महाराष्ट्र
Munger,Bihar,25.3747,86.4735,मुंगेर,बिहार
Muzaffarnagar,Uttar Pradesh,29.4727,77.7085,मुजफ्फरनगर,उत्तर प्रदेश
Muzaffarpur,Bihar,26.1225,85.3906,मुजफ्फरपुर,बिहार
Mysuru,Karnataka,12.2958,76.6394,मैसूरु,कर्नाटक
Nagaon,Assam,26.3509,92.6839,नगांव,असम
Nagaur,Rajasthan,27.202,73.7339,नागौर,राजस्थान
Nagpur,Maharashtra,21.1458,79.0882,नागपुर,महाराष्ट्र
Naharlagun,Arunachal Pradesh,27.1041,93.6953,नाहरलागुन,अरुणाचल प्रदेश
Nalbari,Assam,26.4449,91.4406,नलबाड़ी,असम
Nanded,Maharashtra,19.1383,77.321,नांदेड़,महाराष्ट्र
Nandesari,Gujarat,22.38,73.15,नंदेसरी,गुजरात
Narnaul,Haryana,28.0451,76.1077,नारनौल,हरियाणा
Nashik,Maharashtra,19.9975,73.7898,नासिक,महाराष्ट्र
Navi mumbai,Maharashtra,19.033,73.0297,नवी मुंबई,महाराष्ट्र
Nellore,Andhra Pradesh,14.4426,79.9865,नेल्लोर,आंध्र प्रदेश
Noida,Uttar Pradesh,28.5355,77.391,नोएडा,उत्तर प्रदेश
Pali,Rajasthan,25.7711,73.3234,पाली,राजस्थान
Palwal,Haryana,28.1447,77.326,पलवल,हरियाणा
Pampore,Jammu and Kashmir,33.99,74.92,पांपोर,जम्मू और कश्मीर
Panchgaon,Haryana,28.38,76.9,पंचगांव,हरियाणा
Panchkula,Haryana,30.6942,76.8606,पंचकूला,हरियाणा
Panipat,Haryana,29.3909,76.9635,पानीपत,हरियाणा
Parbhani,Maharashtra,19.2704,76.7602,परभणी,महाराष्ट्र
Patiala,Punjab,30.3398,76.3869,पटियाला,पंजाब
Patna,Bihar,25.5941,85.1376,पटना,बिहार
Pimpri-chinchwad,Maharashtra,18.6298,73.7997,पिंपरी-चिंचवड़,महाराष्ट्र
Pithampur,Madhya Pradesh,22.6141,75.682,पीथमपुर,मध्य प्रदेश
Pratapgarh,Uttar Pradesh,25.8988,81.9412,प्रतापगढ़,उत्तर प्रदेश
Prayagraj,Uttar Pradesh,25.4358,81.8463,प्रयागराज,उत्तर प्रदेश
Puducherry,Puducherry,11.9416,79.8083,पुडुचेरी,पुडुचेरी
Pune,Maharashtra,18.5204,73.8567,पुणे,महाराष्ट्र
Purnia,Bihar,25.7771,87.4753,पूर्णिया,बिहार
Raebareli,Uttar Pradesh,26.2309,81.2338,रायबरेली,उत्तर प्रदेश
Raipur,Chhattisgarh,21.2514,81.6296,रायपुर,छत्तीसगढ़
Rairangpur,Odisha,22.2667,86.1667,रायरंगपुर,ओडिशा
Rajamahendravaram,Andhra Pradesh,17.0005,81.804,राजमहेंद्रवरम,आंध्र प्रदेश
Rajkot,Gujarat,22.3039,70.8022,राजकोट,गुजरात
Rajsamand,Rajasthan,25.07,73.88,राजसमंद,राजस्थान
Ramanagara,Karnataka,12.7218,77.2817,रामनगर,कर्नाटक
Ratlam,Madhya Pradesh,23.3315,75.0367,रतलाम,मध्य प्रदेश
Rishikesh,Uttarakhand,30.0869,78.2676,ऋषिकेश,उत्तराखंड
Rohtak,Haryana,28.8955,76.6066,रोहतक,हरियाणा
Rourkela,Odisha,22.2604,84.8536,राउरकेला,ओडिशा
Rupnagar,Punjab,30.9685,76.5262,रूपनगर,पंजाब
Sagar,Madhya Pradesh,23.8388,78.7378,सागर,मध्य प्रदेश
Saharsa,Bihar,25.8804,86.6,सहरसा,बिहार
Samastipur,Bihar,25.8622,85.7796,समस्तीपुर,बिहार
Sangli,Maharashtra,16.8524,74.5815,सांगली,महाराष्ट्र
Sasaram,Bihar,24.95,84.02,सासाराम,बिहार
Satara,Maharashtra,17.6805,74.0183,सातारा,महाराष्ट्र
Satna,Madhya Pradesh,24.5854,80.8322,सतना,मध्य प्रदेश
Sawai madhopur,Rajasthan,26.0173,76.35,सवाई माधोपुर,राजस्थान
Shamli,Uttar Pradesh,29.45,77.31,शामली,उत्तर प्रदेश
Shillong,Meghalaya,25.5788,91.8933,शिलांग,मेघालय
Shivamogga,Karnataka,13.9299,75.5681,शिवमोग्गा,कर्नाटक
Sikar,Rajasthan,27.6094,75.1399,सीकर,राजस्थान
Silchar,Assam,24.8333,92.7789,सिलचर,असम
Siliguri,West Bengal,26.7271,88.3953,सिलीगुड़ी,पश्चिम बंगाल
Singrauli,Madhya Pradesh,24.1994,82.6753,सिंगरौली,मध्य प्रदेश
Sirohi,Rajasthan,24.885,72.8608,सिरोही,राजस्थान
Sirsa,Haryana,29.5321,75.028,सिरसा,हरियाणा
Siwan,Bihar,26.2196,84.3562,सिवान,बिहार
Solapur,Maharashtra,17.6599,75.9064,सोलापुर,महाराष्ट्र
Sonipat,Haryana,28.9931,77.0151,सोनीपत,हरियाणा
Sri ganganagar,Rajasthan,29.9094,73.88,श्री गंगानगर,राजस्थान
Srinagar,Jammu and Kashmir,34.0837,74.7973,श्रीनगर,जम्मू और कश्मीर
Surat,Gujarat,21.1702,72.8311,सूरत,गुजरात
Talcher,Odisha,20.95,85.23,तालचेर,ओडिशा
Tensa,Odisha,22.05,84.92,टेंसा,ओडिशा
Thane,Maharashtra,19.2183,72.9781,ठाणे,महाराष्ट्र
Thiruvananthapuram,Kerala,8.5241,76.9366,तिरुवनंतपुरम,केरल
Thoothukudi,Tamil Nadu,8.7642,78.1348,थूथुकुडी,तमिलनाडु
Thrissur,Kerala,10.5276,76.2144,त्रिशूर,केरल
Tirumala,Andhra Pradesh,13.6833,79.3474,तिरुमला,आंध्र प्रदेश
Tirupati,Andhra Pradesh,13.6288,79.4192,तिरुपति,आंध्र प्रदेश
Tonk,Rajasthan,26.1652,75.7912,टोंक,राजस्थान
Tumakuru,Karnataka,13.3379,77.1022,तुमकुरु,कर्नाटक
Tumidih,Chhattisgarh,22.3,82.6,तुमिडीह,छत्तीसगढ़
Udaipur,Rajasthan,24.5854,73.7125,उदयपुर,राजस्थान
Ujjain,Madhya Pradesh,23.1793,75.7849,उज्जैन,मध्य प्रदेश
Ulhasnagar,Maharashtra,19.2215,73.1645,उल्हासनगर,महाराष्ट्र
Vadodara,Gujarat,22.3072,73.1812,वडोदरा,गुजरात
Vapi,Gujarat,20.3711,72.9047,वापी,गुजरात
Varanasi,Uttar Pradesh,25.3176,82.9739,वाराणसी,उत्तर प्रदेश
Vatva,Gujarat,22.97,72.65,वटवा,गुजरात
Vijayapura,Karnataka,16.8302,75.71,विजयपुरा,कर्नाटक
Vijayawada,Andhra Pradesh,16.5062,80.648,विजयवाड़ा,आंध्र प्रदेश
Virar,Maharashtra,19.4559,72.8107,विरार,महाराष्ट्र
Visakhapatnam,Andhra Pradesh,17.6868,83.2185,विशाखापत्तनम,आंध्र प्रदेश
Vrindavan,Uttar Pradesh,27.5806,77.7006,वृंदावन,उत्तर प्रदेश
Yadgir,Karnataka,16.7691,77.1378,यादगीर,कर्नाटक
Yamuna nagar,Haryana,30.129,77.2674,यमुनानगर,हरियाणा
