city,aqi,date
Guntur,49,8 Aug 2026
Gurugram,87,8 Aug 2026
Guwahati,32,8 Aug 2026
Gwalior,49,8 Aug 2026
Hajipur,40,8 Aug 2026
Haldia,26,8 Aug 2026
Hanumangarh,39,8 Aug 2026
Hapur,47,8 Aug 2026
Hingoli,319,8 Aug 2026
Hisar,32,8 Aug 2026
Howrah,45,8 Aug 2026
Hyderabad,46,8 Aug 2026
Indore,58,8 Aug 2026
Jabalpur,57,8 Aug 2026
Jaipur,75,8 Aug 2026
Jaisalmer,102,8 Aug 2026
Jalandhar,41,8 Aug 2026
Jalgaon,43,8 Aug 2026
Jalna,39,8 Aug 2026
Jalore,88,8 Aug 2026
Jhalawar,76,8 Aug 2026
Jhansi,55,8 Aug 2026
Jhunjhunu,63,8 Aug 2026
Jind,51,8 Aug 2026
Jodhpur,84,8 Aug 2026
Jorapokhar,67,8 Aug 2026
Kaithal,70,8 Aug 2026
Kakinada,66,8 Aug 2026
Kalaburagi,32,8 Aug 2026
Kalyan,80,8 Aug 2026
Kannur,54,8 Aug 2026
Kanpur,64,8 Aug 2026
Karauli,39,8 Aug 2026
Karnal,48,8 Aug 2026
Karwar,59,8 Aug 2026
Katni,74,8 Aug 2026
Khairthal,73,8 Aug 2026
Khanna,70,8 Aug 2026
Khora,76,8 Aug 2026
Khurja,53,8 Aug 2026
Kishanganj,50,8 Aug 2026
Kohima,56,8 Aug 2026
Kolhapur,31,8 Aug 2026
Kolkata,51,8 Aug 2026
Korba,26,8 Aug 2026
Kota,95,8 Aug 2026
Kunjemura,27,8 Aug 2026
Kurnool,33,8 Aug 2026
Kurukshetra,52,8 Aug 2026
Latur,47,8 Aug 2026
Lucknow,72,8 Aug 2026
Ludhiana,80,8 Aug 2026
Machilipatnam,65,8 Aug 2026
Madikeri,14,8 Aug 2026
Mahad,38,8 Aug 2026
Maihar,29,8 Aug 2026
Malegaon,57,8 Aug 2026
Mandideep,101,8 Aug 2026
Mandi gobindgarh,118,8 Aug 2026
Manesar,41,8 Aug 2026
Manguraha,73,8 Aug 2026
Mathura,42,8 Aug 2026
Meerut,57,8 Aug 2026
Mehsana,72,8 Aug 2026
Milupara,36,8 Aug 2026
Mira-bhayandar,31,8 Aug 2026
Modinagar,22,8 Aug 2026
Moradabad,42,8 Aug 2026
Mumbai,43,8 Aug 2026
Munger,45,8 Aug 2026
Muzaffarnagar,35,8 Aug 2026
Muzaffarpur,39,8 Aug 2026
Mysuru,48,8 Aug 2026
Nagaon,62,8 Aug 2026
Nagaur,95,8 Aug 2026
Nagpur,54,8 Aug 2026
Naharlagun,28,8 Aug 2026
Nalbari,59,8 Aug 2026
Nanded,39,8 Aug 2026
Nandesari,69,8 Aug 2026
Narnaul,59,8 Aug 2026
Nashik,45,8 Aug 2026
Navi mumbai,39,8 Aug 2026
Nellore,56,8 Aug 2026
Noida,55,8 Aug 2026
Pali,134,8 Aug 2026
Palwal,110,8 Aug 2026
Pampore,45,8 Aug 2026
Panchgaon,33,8 Aug 2026
Panchkula,35,8 Aug 2026
Panipat,119,8 Aug 2026
Parbhani,27,8 Aug 2026
Patiala,44,8 Aug 2026
Patna,66,8 Aug 2026
Pimpri-chinchwad,55,8 Aug 2026
Pithampur,128,8 Aug 2026
Pratapgarh,82,8 Aug 2026
Prayagraj,35,8 Aug 2026
Puducherry,43,8 Aug 2026
Pune,52,8 Aug 2026
Purnia,56,8 Aug 2026
Raebareli,66,8 Aug 2026
Raipur,43,8 Aug 2026
Rairangpur,31,8 Aug 2026
Rajamahendravaram,65,8 Aug 2026
Rajkot,72,8 Aug 2026
Rajsamand,91,8 Aug 2026
Ramanagara,48,8 Aug 2026
Ratlam,43,8 Aug 2026
Rishikesh,37,8 Aug 2026
Rohtak,52,8 Aug 2026
Rourkela,48,8 Aug 2026
Sagar,36,8 Aug 2026
Saharsa,46,8 Aug 2026
Samastipur,104,8 Aug 2026
Sangli,42,8 Aug 2026
Satara,58,8 Aug 2026
Satna,70,8 Aug 2026
Sawai madhopur,78,8 Aug 2026
Shamli,87,8 Aug 2026
Shillong,32,8 Aug 2026
Shivamogga,39,8 Aug 2026
Sikar,43,8 Aug 2026
Silchar,55,8 Aug 2026
Siliguri,118,8 Aug 2026
Singrauli,39,8 Aug 2026
Sirohi,71,8 Aug 2026
Sirsa,81,8 Aug 2026
Siwan,105,8 Aug 2026
Solapur,42,8 Aug 2026
Sonipat,103,8 Aug 2026
Sri ganganagar,83,8 Aug 2026
Srinagar,40,8 Aug 2026
Surat,56,8 Aug 2026
Talcher,87,8 Aug 2026
Tensa,77,8 Aug 2026
Thane,41,8 Aug 2026
Thiruvananthapuram,40,8 Aug 2026
Thoothukudi,67,8 Aug 2026
Thrissur,42,8 Aug 2026
Tirumala,43,8 Aug 2026
Tirupati,55,8 Aug 2026
Tonk,109,8 Aug 2026
Udaipur,109,8 Aug 2026
Ujjain,71,8 Aug 2026
Ulhasnagar,42,8 Aug 2026
Vadodara,75,8 Aug 2026
Vapi,44,8 Aug 2026
Varanasi,66,8 Aug 2026
Vatva,121,8 Aug 2026
Virar,31,8 Aug 2026
Visakhapatnam,103,8 Aug 2026
Vrindavan,36,8 Aug 2026
Yadgir,43,8 Aug 2026
Yamuna nagar,87,8 Aug 2026
अगरतला,61,7 Aug 2026
आगरा,54,7 Aug 2026
अहमदाबाद,92,7 Aug 2026
अहमदनगर,48,7 Aug 2026
आइजोल,14,7 Aug 2026
अकोला,42,7 Aug 2026
अलवर,94,7 Aug 2026
अमरावती,53,7 Aug 2026
अंबाला,97,7 Aug 2026
अंबरनाथ,87,7 Aug 2026
अमरावती,48,7 Aug 2026
अमृतसर,77,7 Aug 2026
अनंतपुर,71,7 Aug 2026
अंगुल,64,7 Aug 2026
अंकलेश्वर,65,7 Aug 2026
अररिया,43,7 Aug 2026
आरा,48,7 Aug 2026
आसनसोल,61,7 Aug 2026
Aurangabad (Maharashtra),49,7 Aug 2026
बड़ी,98,7 Aug 2026
Badlapur,26,7 Aug 2026
बागलकोट,51,7 Aug 2026
Baghpat,32,7 Aug 2026
Bahadurgarh,48,7 Aug 2026
Balasore,54,7 Aug 2026
Ballabgarh,41,7 Aug 2026
बांसवाड़ा,64,7 Aug 2026
Baran,45,7 Aug 2026
Barbil,34,7 Aug 2026
बरेली,34,7 Aug 2026
Baripada,44,7 Aug 2026
बाड़मेर,91,7 Aug 2026
Barrackpore,48,7 Aug 2026
बठिंडा,88,7 Aug 2026
Beed,42,7 Aug 2026
Begusarai,104,7 Aug 2026
Belapur,20,7 Aug 2026
Bengaluru,51,7 Aug 2026
Bettiah,26,7 Aug 2026
भागलपुर,99,7 Aug 2026
भरतपुर,27,7 Aug 2026
भावनगर,63,7 Aug 2026
Bhilai,30,7 Aug 2026
भीलवाड़ा,123,7 Aug 2026
भिवाड़ी,73,7 Aug 2026
Bhiwandi,42,7 Aug 2026
भिवानी,157,7 Aug 2026
भोपाल,77,7 Aug 2026
भुवनेश्वर,43,7 Aug 2026
बिलासपुर,41,7 Aug 2026
Bileipada,68,7 Aug 2026
Boisar,52,7 Aug 2026
Brajrajnagar,44,7 Aug 2026
Bulandshahr,38,7 Aug 2026
Bundi,72,7 Aug 2026
Byrnihat (Assam),86,7 Aug 2026
Byrnihat (Meghalaya),181,7 Aug 2026
Chamarajanagar,43,7 Aug 2026
Chandigarh,21,7 Aug 2026
Chandrapur,53,7 Aug 2026
Charkhi dadri,149,7 Aug 2026
Chennai,128,7 Aug 2026
Chhapra,85,7 Aug 2026
Chikkamagaluru,27,7 Aug 2026
Chittoor,72,7 Aug 2026
Chittorgarh,83,7 Aug 2026
Churu,75,7 Aug 2026
Cuttack,53,7 Aug 2026
Damoh,50,7 Aug 2026
Dausa,42,7 Aug 2026
Delhi,63,7 Aug 2026
Dewas,84,7 Aug 2026
Dharuhera,72,7 Aug 2026
Dharwad,59,7 Aug 2026
Dholpur,31,7 Aug 2026
Dhule,67,7 Aug 2026
Dombivli,36,7 Aug 2026
Dungarpur,78,7 Aug 2026
Durgapur,92,7 Aug 2026
Eloor,81,7 Aug 2026
Eluru,154,7 Aug 2026
Faridabad,86,7 Aug 2026
Fatehabad,58,7 Aug 2026
Fatehpur sikri,29,7 Aug 2026
Firozabad,34,7 Aug 2026
Gadag,39,7 Aug 2026
Gajraula,28,7 Aug 2026
Gandhinagar,97,7 Aug 2026
Gaya,30,7 Aug 2026
Ghaziabad,60,7 Aug 2026
Gorakhpur,74,7 Aug 2026
Greater noida,87,7 Aug 2026
Gummidipoondi,150,7 Aug 2026
Guntur,63,7 Aug 2026
Gurugram,77,7 Aug 2026
Guwahati,39,7 Aug 2026
Gwalior,54,7 Aug 2026
Hajipur,50,7 Aug 2026
Haldia,29,7 Aug 2026
Hanumangarh,63,7 Aug 2026
Hapur,52,7 Aug 2026
Hingoli,187,7 Aug 2026
Hisar,53,7 Aug 2026
Howrah,52,7 Aug 2026
Hyderabad,45,7 Aug 2026
Indore,58,7 Aug 2026
Jabalpur,63,7 Aug 2026
Jaipur,90,7 Aug 2026
Jaisalmer,117,7 Aug 2026
Jalandhar,62,7 Aug 2026
Jalgaon,51,7 Aug 2026
Jalna,52,7 Aug 2026
Jalore,104,7 Aug 2026
Jhalawar,70,7 Aug 2026
Jhansi,44,7 Aug 2026
Jhunjhunu,83,7 Aug 2026
Jind,47,7 Aug 2026
Jodhpur,91,7 Aug 2026
Jorapokhar,59,7 Aug 2026
Kadapa,57,7 Aug 2026
Kaithal,101,7 Aug 2026
Kakinada,45,7 Aug 2026
Kalaburagi,34,7 Aug 2026
Kalyan,73,7 Aug 2026
Kannur,67,7 Aug 2026
Kanpur,55,7 Aug 2026
Karauli,35,7 Aug 2026
Karnal,46,7 Aug 2026
Karwar,52,7 Aug 2026
Katni,57,7 Aug 2026
Keonjhar,38,7 Aug 2026
Khairthal,131,7 Aug 2026
Khanna,70,7 Aug 2026
Khora,80,7 Aug 2026
Kohima,59,7 Aug 2026
Kolhapur,29,7 Aug 2026
Kolkata,49,7 Aug 2026
Korba,28,7 Aug 2026
Kota,73,7 Aug 2026
Kunjemura,26,7 Aug 2026
Kurnool,28,7 Aug 2026
Kurukshetra,47,7 Aug 2026
Latur,38,7 Aug 2026
Lucknow,49,7 Aug 2026
Machilipatnam,61,7 Aug 2026
Madikeri,12,7 Aug 2026
Mahad,58,7 Aug 2026
Maihar,28,7 Aug 2026
Malegaon,67,7 Aug 2026
Mandideep,95,7 Aug 2026
Mandi gobindgarh,118,7 Aug 2026
Manesar,42,7 Aug 2026
Mathura,39,7 Aug 2026
Meerut,50,7 Aug 2026
Mehsana,78,7 Aug 2026
Milupara,24,7 Aug 2026
Mira-bhayandar,38,7 Aug 2026
Modinagar,36,7 Aug 2026
Moradabad,34,7 Aug 2026
Motihari,69,7 Aug 2026
Mumbai,42,7 Aug 2026
Munger,64,7 Aug 2026
Muzaffarnagar,34,7 Aug 2026
Muzaffarpur,57,7 Aug 2026
Mysuru,51,7 Aug 2026
Nagaon,54,7 Aug 2026
Nagaur,103,7 Aug 2026
Nagpur,46,7 Aug 2026
Naharlagun,37,7 Aug 2026
Nanded,37,7 Aug 2026
Nandesari,64,7 Aug 2026
Nashik,45,7 Aug 2026
Navi mumbai,42,7 Aug 2026
Nellore,57,7 Aug 2026
Noida,51,7 Aug 2026
Pali,169,7 Aug 2026
Palwal,95,7 Aug 2026
Pampore,69,7 Aug 2026
Panchgaon,47,7 Aug 2026
Panchkula,35,7 Aug 2026
Panipat,81,7 Aug 2026
Parbhani,33,7 Aug 2026
Patiala,35,7 Aug 2026
Patna,78,7 Aug 2026
Pimpri-chinchwad,49,7 Aug 2026
Pithampur,119,7 Aug 2026
Pratapgarh,94,7 Aug 2026
Prayagraj,27,7 Aug 2026
Puducherry,35,7 Aug 2026
Pune,59,7 Aug 2026
Purnia,57,7 Aug 2026
Raebareli,72,7 Aug 2026
Raipur,50,7 Aug 2026
Rairangpur,24,7 Aug 2026
Rajamahendravaram,42,7 Aug 2026
Rajkot,77,7 Aug 2026
Rajsamand,103,7 Aug 2026
Ramanagara,45,7 Aug 2026
Ratlam,42,7 Aug 2026
Rishikesh,37,7 Aug 2026
Rohtak,30,7 Aug 2026
Rourkela,40,7 Aug 2026
Sagar,40,7 Aug 2026
Saharsa,42,7 Aug 2026
Samastipur,83,7 Aug 2026
Sangli,36,7 Aug 2026
Satara,66,7 Aug 2026
Satna,71,7 Aug 2026
Sawai madhopur,68,7 Aug 2026
Shamli,125,7 Aug 2026
Shillong,28,7 Aug 2026
Shivamogga,29,7 Aug 2026
Sikar,95,7 Aug 2026
Silchar,39,7 Aug 2026
Siliguri,125,7 Aug 2026
Singrauli,38,7 Aug 2026
Sirohi,89,7 Aug 2026
Sirsa,89,7 Aug 2026
Siwan,105,7 Aug 2026
Solapur,47,7 Aug 2026
Sonipat,132,7 Aug 2026
Sri ganganagar,89,7 Aug 2026
Srinagar,55,7 Aug 2026
Surat,61,7 Aug 2026
Tensa,77,7 Aug 2026
Thane,49,7 Aug 2026
Thiruvananthapuram,43,7 Aug 2026
Thoothukudi,67,7 Aug 2026
Thrissur,46,7 Aug 2026
Tirumala,43,7 Aug 2026
Tirupati,61,7 Aug 2026
Tonk,125,7 Aug 2026
Tumakuru,64,7 Aug 2026
Tumidih,36,7 Aug 2026
Udaipur,118,7 Aug 2026
Ujjain,73,7 Aug 2026
Ulhasnagar,49,7 Aug 2026
Vadodara,87,7 Aug 2026
Vapi,46,7 Aug 2026
Varanasi,54,7 Aug 2026
Vatva,113,7 Aug 2026
Vijayawada,70,7 Aug 2026
Virar,37,7 Aug 2026
Visakhapatnam,68,7 Aug 2026
Vrindavan,32,7 Aug 2026
Yadgir,38,7 Aug 2026
अगरतला,69,6 Aug 2026
आगरा,55,6 Aug 2026
अहमदाबाद,85,6 Aug 2026
अहमदनगर,47,6 Aug 2026
अजमेर,84,6 Aug 2026
अकोला,36,6 Aug 2026
अलवर,89,6 Aug 2026
अमरावती,67,6 Aug 2026
अंबाला,62,6 Aug 2026
अंबरनाथ,71,6 Aug 2026
अमरावती,37,6 Aug 2026
अमृतसर,75,6 Aug 2026
अंगुल,76,6 Aug 2026
अंकलेश्वर,74,6 Aug 2026
आसनसोल,56,6 Aug 2026
Aurangabad (Maharashtra),53,6 Aug 2026
बड़ी,104,6 Aug 2026
Badlapur,44,6 Aug 2026
बागलकोट,51,6 Aug 2026
Bahadurgarh,49,6 Aug 2026
Balasore,56,6 Aug 2026
Ballabgarh,75,6 Aug 2026
बांसवाड़ा,58,6 Aug 2026
Baran,55,6 Aug 2026
बरेली,40,6 Aug 2026
Baripada,48,6 Aug 2026
बाड़मेर,90,6 Aug 2026
Barrackpore,47,6 Aug 2026
Beed,42,6 Aug 2026
Begusarai,32,6 Aug 2026
Belapur,32,6 Aug 2026
Bengaluru,61,6 Aug 2026
भागलपुर,121,6 Aug 2026
भरतपुर,35,6 Aug 2026
भावनगर,67,6 Aug 2026
Bhilai,29,6 Aug 2026
भीलवाड़ा,87,6 Aug 2026
भिवाड़ी,74,6 Aug 2026
Bhiwandi,55,6 Aug 2026
भिवानी,159,6 Aug 2026
भोपाल,58,6 Aug 2026
भुवनेश्वर,54,6 Aug 2026
बीकानेर,99,6 Aug 2026
बिलासपुर,30,6 Aug 2026
Bileipada,53,6 Aug 2026
Boisar,54,6 Aug 2026
Brajrajnagar,49,6 Aug 2026
Bulandshahr,41,6 Aug 2026
Bundi,77,6 Aug 2026
Byrnihat (Assam),95,6 Aug 2026
Byrnihat (Meghalaya),94,6 Aug 2026
Chamarajanagar,44,6 Aug 2026
Chandigarh,38,6 Aug 2026
Chandrapur,45,6 Aug 2026
Charkhi dadri,97,6 Aug 2026
Chennai,80,6 Aug 2026
Chhal,43,6 Aug 2026
Chhapra,100,6 Aug 2026
Chikkaballapur,30,6 Aug 2026
Chikkamagaluru,29,6 Aug 2026
Chittoor,65,6 Aug 2026
Chittorgarh,67,6 Aug 2026
Churu,91,6 Aug 2026
Coimbatore,26,6 Aug 2026
Cuddalore,23,6 Aug 2026
Cuttack,47,6 Aug 2026
Damoh,50,6 Aug 2026
Dausa,70,6 Aug 2026
Delhi,74,6 Aug 2026
Dewas,96,6 Aug 2026
Dharuhera,82,6 Aug 2026
Dharwad,66,6 Aug 2026
Dholpur,32,6 Aug 2026
Dhule,58,6 Aug 2026
Dombivli,34,6 Aug 2026
Dungarpur,76,6 Aug 2026
Durgapur,46,6 Aug 2026
Eloor,67,6 Aug 2026
Eluru,49,6 Aug 2026
Faridabad,113,6 Aug 2026
Fatehabad,63,6 Aug 2026
Fatehpur sikri,29,6 Aug 2026
Firozabad,53,6 Aug 2026
Gadag,39,6 Aug 2026
Gandhinagar,89,6 Aug 2026
Gaya,89,6 Aug 2026
Ghaziabad,82,6 Aug 2026
Gorakhpur,55,6 Aug 2026
Greater noida,97,6 Aug 2026
Gummidipoondi,119,6 Aug 2026
Guntur,61,6 Aug 2026
Gurugram,90,6 Aug 2026
Gwalior,51,6 Aug 2026
Hajipur,35,6 Aug 2026
Hanumangarh,65,6 Aug 2026
Hapur,46,6 Aug 2026
Hingoli,93,6 Aug 2026
Howrah,66,6 Aug 2026
Hyderabad,45,6 Aug 2026
Indore,54,6 Aug 2026
Jabalpur,51,6 Aug 2026
Jaipur,92,6 Aug 2026
Jaisalmer,120,6 Aug 2026
Jalandhar,71,6 Aug 2026
Jalgaon,36,6 Aug 2026
Jalna,52,6 Aug 2026
Jalore,85,6 Aug 2026
Jhalawar,61,6 Aug 2026
Jhansi,76,6 Aug 2026
Jhunjhunu,77,6 Aug 2026
Jind,56,6 Aug 2026
Jodhpur,77,6 Aug 2026
Jorapokhar,64,6 Aug 2026
Kaithal,103,6 Aug 2026
Kakinada,52,6 Aug 2026
Kalaburagi,41,6 Aug 2026
Kalyan,68,6 Aug 2026
Kannur,70,6 Aug 2026
Kanpur,51,6 Aug 2026
Karnal,52,6 Aug 2026
Karwar,47,6 Aug 2026
Katni,79,6 Aug 2026
Keonjhar,39,6 Aug 2026
Khairthal,72,6 Aug 2026
Khanna,65,6 Aug 2026
Khora,89,6 Aug 2026
Khurja,54,6 Aug 2026
Kishanganj,51,6 Aug 2026
Kohima,54,6 Aug 2026
Kolhapur,34,6 Aug 2026
Kolkata,60,6 Aug 2026
Korba,29,6 Aug 2026
Kota,81,6 Aug 2026
Kunjemura,39,6 Aug 2026
Kurnool,28,6 Aug 2026
Kurukshetra,49,6 Aug 2026
Latur,36,6 Aug 2026
Lucknow,54,6 Aug 2026
Ludhiana,70,6 Aug 2026
Machilipatnam,69,6 Aug 2026
Madikeri,14,6 Aug 2026
Madurai,44,6 Aug 2026
Mahad,35,6 Aug 2026
Maihar,28,6 Aug 2026
Malegaon,59,6 Aug 2026
Mandideep,76,6 Aug 2026
Mandi gobindgarh,118,6 Aug 2026
Manesar,42,6 Aug 2026
Mangalore,49,6 Aug 2026
Manguraha,73,6 Aug 2026
Mathura,32,6 Aug 2026
Meerut,53,6 Aug 2026
Mehsana,85,6 Aug 2026
Mira-bhayandar,36,6 Aug 2026
Moradabad,26,6 Aug 2026
Mumbai,46,6 Aug 2026
Munger,48,6 Aug 2026
Muzaffarnagar,51,6 Aug 2026
Muzaffarpur,33,6 Aug 2026
Mysuru,54,6 Aug 2026
Nagaon,54,6 Aug 2026
Nagaur,83,6 Aug 2026
Nagpur,43,6 Aug 2026
Naharlagun,28,6 Aug 2026
Nalbari,71,6 Aug 2026
Nanded,35,6 Aug 2026
Nandesari,62,6 Aug 2026
Narnaul,77,6 Aug 2026
Nashik,34,6 Aug 2026
Navi mumbai,44,6 Aug 2026
Nellore,60,6 Aug 2026
Noida,76,6 Aug 2026
Pali,135,6 Aug 2026
Pampore,82,6 Aug 2026
Panchgaon,48,6 Aug 2026
Panchkula,44,6 Aug 2026
Panipat,96,6 Aug 2026
Parbhani,34,6 Aug 2026
Patiala,47,6 Aug 2026
Patna,49,6 Aug 2026
Pimpri-chinchwad,50,6 Aug 2026
Pithampur,107,6 Aug 2026
Pratapgarh,86,6 Aug 2026
Prayagraj,79,6 Aug 2026
Puducherry,47,6 Aug 2026
Pune,45,6 Aug 2026
Purnia,56,6 Aug 2026
Raebareli,72,6 Aug 2026
Raipur,41,6 Aug 2026
Rairangpur,24,6 Aug 2026
Rajamahendravaram,44,6 Aug 2026
Rajkot,83,6 Aug 2026
Rajsamand,83,6 Aug 2026
Ramanagara,42,6 Aug 2026
Ratlam,35,6 Aug 2026
Rishikesh,37,6 Aug 2026
Rohtak,38,6 Aug 2026
Rourkela,50,6 Aug 2026
Rupnagar,54,6 Aug 2026
Sagar,40,6 Aug 2026
Saharsa,40,6 Aug 2026
Samastipur,76,6 Aug 2026
Sangli,37,6 Aug 2026
Satara,51,6 Aug 2026
Satna,70,6 Aug 2026
Sawai madhopur,67,6 Aug 2026
Shamli,85,6 Aug 2026
Shillong,28,6 Aug 2026
Shivamogga,37,6 Aug 2026
Sikar,44,6 Aug 2026
Silchar,40,6 Aug 2026
Siliguri,122,6 Aug 2026
Sirohi,79,6 Aug 2026
Sirsa,80,6 Aug 2026
Siwan,105,6 Aug 2026
Solapur,45,6 Aug 2026
Sonipat,134,6 Aug 2026
Sri ganganagar,78,6 Aug 2026
Srinagar,58,6 Aug 2026
Surat,73,6 Aug 2026
Talcher,75,6 Aug 2026
Thane,45,6 Aug 2026
Thiruvananthapuram,47,6 Aug 2026
Thoothukudi,67,6 Aug 2026
Thrissur,47,6 Aug 2026
Tirumala,42,6 Aug 2026
Tirupati,70,6 Aug 2026
Tonk,102,6 Aug 2026
Tumakuru,65,6 Aug 2026
Tumidih,32,6 Aug 2026
Udaipur,99,6 Aug 2026
Ujjain,51,6 Aug 2026
Ulhasnagar,38,6 Aug 2026
Vadodara,86,6 Aug 2026
Vapi,33,6 Aug 2026
Varanasi,40,6 Aug 2026
Vatva,117,6 Aug 2026
Vijayapura,43,6 Aug 2026
Vijayawada,61,6 Aug 2026
Virar,35,6 Aug 2026
Visakhapatnam,99,6 Aug 2026
Vrindavan,34,6 Aug 2026
Yamuna nagar,76,6 Aug 2026
अगरतला,61,5 Aug 2026
आगरा,63,5 Aug 2026
अहमदाबाद,94,5 Aug 2026
अहमदनगर,54,5 Aug 2026
आइजोल,14,5 Aug 2026
अजमेर,88,5 Aug 2026
अकोला,51,5 Aug 2026
अलवर,101,5 Aug 2026
अमरावती,79,5 Aug 2026
अंबाला,74,5 Aug 2026
अमरावती,46,5 Aug 2026
अमृतसर,85,5 Aug 2026
अंगुल,62,5 Aug 2026
अंकलेश्वर,74,5 Aug 2026
अररिया,47,5 Aug 2026
आसनसोल,58,5 Aug 2026
Aurangabad (Maharashtra),58,5 Aug 2026
बड़ी,115,5 Aug 2026
Badlapur,49,5 Aug 2026
बागलकोट,51,5 Aug 2026
Bahadurgarh,39,5 Aug 2026
Balasore,52,5 Aug 2026
Ballabgarh,63,5 Aug 2026
बांसवाड़ा,63,5 Aug 2026
Baran,57,5 Aug 2026
Barbil,59,5 Aug 2026
बरेली,38,5 Aug 2026
Baripada,53,5 Aug 2026
बाड़मेर,80,5 Aug 2026
Barrackpore,56,5 Aug 2026
बठिंडा,84,5 Aug 2026
Beed,26,5 Aug 2026
Begusarai,33,5 Aug 2026
Belapur,30,5 Aug 2026
Bengaluru,49,5 Aug 2026
Bettiah,41,5 Aug 2026
भागलपुर,120,5 Aug 2026
भरतपुर,33,5 Aug 2026
भावनगर,64,5 Aug 2026
Bhilai,26,5 Aug 2026
भीलवाड़ा,109,5 Aug 2026
भिवाड़ी,74,5 Aug 2026
Bhiwandi,53,5 Aug 2026
भोपाल,73,5 Aug 2026
भुवनेश्वर,46,5 Aug 2026
बीकानेर,59,5 Aug 2026
बिलासपुर,37,5 Aug 2026
Bileipada,52,5 Aug 2026
Boisar,53,5 Aug 2026
Brajrajnagar,48,5 Aug 2026
Bulandshahr,38,5 Aug 2026
Bundi,70,5 Aug 2026
Byasanagar,64,5 Aug 2026
Byrnihat (Assam),94,5 Aug 2026
Byrnihat (Meghalaya),127,5 Aug 2026
Chamarajanagar,45,5 Aug 2026
Chandigarh,37,5 Aug 2026
Chandrapur,47,5 Aug 2026
Charkhi dadri,152,5 Aug 2026
Chennai,61,5 Aug 2026
Chhal,61,5 Aug 2026
Chikkaballapur,25,5 Aug 2026
Chittoor,58,5 Aug 2026
Chittorgarh,68,5 Aug 2026
Churu,58,5 Aug 2026
