city,state,latitude,longitude
भरतपुर,राजस्थान,27.2152,77.4909
भावनगर,गुजरात,21.7645,72.1519
Bhilai,छत्तीसगढ़,21.2094,81.4285
भीलवाड़ा,राजस्थान,25.3463,74.6364
भिवाड़ी,राजस्थान,28.21,76.86
Bhiwandi,महाराष्ट्र,19.3002,73.0629
भिवानी,हरियाणा,28.7975,76.1322
भोपाल,मध्य प्रदेश,23.2599,77.4126
भुवनेश्वर,ओडिशा,20.2961,85.8245
Bihar sharif,बिहार,25.1994,85.521
बीकानेर,राजस्थान,28.0229,73.3119
बिलासपुर,छत्तीसगढ़,22.0797,82.1409
Bileipada,ओडिशा,21.9,85.33
Boisar,महाराष्ट्र,19.8047,72.7563
Brajrajnagar,ओडिशा,21.8167,83.9167
Bulandshahr,उत्तर प्रदेश,28.4041,77.8498
Bundi,राजस्थान,25.4305,75.6499
Buxar,बिहार,25.5657,83.9773
Byasanagar,ओडिशा,20.8167,86.1333
Byrnihat (Assam),असम,26.0947,91.8737
Byrnihat (Meghalaya),मेघालय,25.97,91.873
Chamarajanagar,कर्नाटक,11.9236,76.9391
Chandigarh,Chandigarh,30.7333,76.7794
Chandrapur,महाराष्ट्र,19.9615,79.2961
Charkhi dadri,हरियाणा,28.5921,76.2727
Chennai,तमिलनाडु,13.0827,80.2707
Chhal,छत्तीसगढ़,21.9,82.6
Chhapra,बिहार,25.7815,84.7476
Chikkaballapur,कर्नाटक,13.4355,77.7315
Chikkamagaluru,कर्नाटक,13.3161,75.772
Chittoor,आंध्र प्रदेश,13.2172,79.1003
Chittorgarh,राजस्थान,24.8887,74.6269
Churu,राजस्थान,28.3033,74.9647
Coimbatore,तमिलनाडु,11.0168,76.9558
Cuddalore,तमिलनाडु,11.748,79.7714
Cuttack,ओडिशा,20.4625,85.883
Damoh,मध्य प्रदेश,23.8315,79.4421
Dausa,राजस्थान,26.8879,76.3364
Dehradun,उत्तरांचल,30.3165,78.0322
Delhi,Delhi,28.61,77.2
Dewas,मध्य प्रदेश,22.9676,76.0534
Dhanbad,झारखंड,23.7957,86.4304
Dharuhera,हरियाणा,28.2013,76.7994
Dharwad,कर्नाटक,15.4589,75.0078
Dholpur,राजस्थान,26.7016,77.8938
Dhule,महाराष्ट्र,20.9042,74.7749
Dombivli,महाराष्ट्र,19.2183,73.0864
Dungarpur,राजस्थान,23.843,73.7147
Durgapur,पश्चिम बंगाल,23.5204,87.3119
Eloor,केरल,10.1333,76.3081
Eluru,आंध्र प्रदेश,16.7107,81.0952
Faridabad,हरियाणा,28.4089,77.3178
Fatehabad,हरियाणा,29.5153,75.4535
Fatehpur sikri,उत्तर प्रदेश,27.094,77.6613
Firozabad,उत्तर प्रदेश,27.1591,78.3958
Gadag,कर्नाटक,15.4319,75.635
Gajraula,उत्तर प्रदेश,28.8362,78.2352
Gandhinagar,गुजरात,23.2156,72.6369
Gangtok,सिक्किम,27.3389,88.6065
Gaya,बिहार,24.7955,84.9994
Ghaziabad,उत्तर प्रदेश,28.6692,77.4538
Gorakhpur,उत्तर प्रदेश,26.7606,83.3732
Greater noida,उत्तर प्रदेश,28.4744,77.504
Gummidipoondi,तमिलनाडु,13.4041,80.1024
Guntur,आंध्र प्रदेश,16.3067,80.4365
Gurugram,हरियाणा,28.4595,77.0266
Guwahati,असम,26.1445,91.7362
Gwalior,मध्य प्रदेश,26.2183,78.1828
Hajipur,बिहार,25.6941,85.2094
Haldia,पश्चिम बंगाल,22.0257,88.0583
Hanumangarh,राजस्थान,29.5814,74.3197
Hapur,उत्तर प्रदेश,28.73,77.78
Hingoli,महाराष्ट्र,19.7173,77.1489
Hisar,हरियाणा,29.1492,75.7217
Howrah,पश्चिम बंगाल,22.5958,88.2636
Hubballi,कर्नाटक,15.3647,75.124
Hyderabad,तेलंगाना,17.385,78.4867
Indore,मध्य प्रदेश,22.7196,75.8577
Jabalpur,मध्य प्रदेश,23.1815,79.9864
Jaipur,राजस्थान,26.9124,75.7873
Jaisalmer,राजस्थान,26.9157,70.9083
Jalandhar,पंजाब,31.326,75.5762
Jalgaon,महाराष्ट्र,21.0077,75.5626
Jalna,महाराष्ट्र,19.841,75.8864
Jalore,राजस्थान,25.352,72.6152
Jhalawar,राजस्थान,24.598,76.1633
Jhansi,उत्तर प्रदेश,25.4484,78.5685
Jhunjhunu,राजस्थान,28.1289,75.3998
Jind,हरियाणा,29.3157,76.314
Jodhpur,राजस्थान,26.2389,73.0243
Jorapokhar,झारखंड,23.71,86.41
Kadapa,आंध्र प्रदेश,14.4673,78.8242
Kaithal,हरियाणा,29.8025,76.3997
Kakinada,आंध्र प्रदेश,16.9891,82.2475
Kalaburagi,कर्नाटक,17.3297,76.8343
Kalyan,महाराष्ट्र,19.2437,73.1355
Kannur,केरल,11.8745,75.3704
Kanpur,उत्तर प्रदेश,26.4499,80.3319
Karauli,राजस्थान,26.496,77.0266
Karnal,हरियाणा,29.6857,76.9905
Karwar,कर्नाटक,14.8137,74.1291
Kashipur,उत्तरांचल,29.2145,78.9622
Katihar,बिहार,25.5393,87.5701
Katni,मध्य प्रदेश,23.834,80.395
Keonjhar,ओडिशा,21.6297,85.5817
Khairthal,राजस्थान,27.988,76.621
Khanna,पंजाब,30.7046,76.2223
Khora,उत्तर प्रदेश,28.67,77.32
Khurja,उत्तर प्रदेश,28.2536,77.8517
Kishanganj,बिहार,26.0961,87.9451
Kohima,नागालैंड,25.6751,94.1086
Kolhapur,महाराष्ट्र,16.705,74.2433
Kolkata,पश्चिम बंगाल,22.5726,88.3639
Korba,छत्तीसगढ़,22.3595,82.6825
Kota,राजस्थान,25.2138,75.8648
Kunjemura,छत्तीसगढ़,22.07,82.24
Kurnool,आंध्र प्रदेश,15.8281,78.0373
Kurukshetra,हरियाणा,29.9695,76.8783
Latur,महाराष्ट्र,18.4088,76.5604
Lucknow,उत्तर प्रदेश,26.8467,80.9462
Ludhiana,पंजाब,30.901,75.8573
Machilipatnam,आंध्र प्रदेश,16.1875,81.1389
Madikeri,कर्नाटक,12.4244,75.7382
Madurai,तमिलनाडु,9.9252,78.1198
Mahad,महाराष्ट्र,18.0818,73.4167
Maihar,मध्य प्रदेश,24.2634,80.7605
Malegaon,महाराष्ट्र,20.5537,74.5288
Mandi gobindgarh,पंजाब,30.67,76.296
Mandideep,मध्य प्रदेश,23.1085,77.5375
Mandikhera,हरियाणा,27.99,76.68
Manesar,हरियाणा,28.3564,76.935
Mangalore,कर्नाटक,12.9141,74.856
Manguraha,बिहार,27.2,84.3
Mathura,उत्तर प्रदेश,27.4924,77.6737
Meerut,उत्तर प्रदेश,28.9845,77.7064
Mehsana,गुजरात,23.588,72.3693
Milupara,छत्तीसगढ़,21.9,83.4
Mira-bhayandar,महाराष्ट्र,19.2952,72.8544
Modinagar,उत्तर प्रदेश,28.8318,77.5735
Moradabad,उत्तर प्रदेश,28.8386,78.7733
Motihari,बिहार,26.6485,84.9161
Mumbai,महाराष्ट्र,19.076,72.8777
Munger,बिहार,25.3747,86.4735
Muzaffarnagar,उत्तर प्रदेश,29.4727,77.7085
Muzaffarpur,बिहार,26.1225,85.3906
Mysuru,कर्नाटक,12.2958,76.6394
Nagaon,असम,26.3509,92.6839
Nagaur,राजस्थान,27.202,73.7339
Nagpur,महाराष्ट्र,21.1458,79.0882
Naharlagun,अरुणाचल प्रदेश,27.1041,93.6953
Nalbari,असम,26.4449,91.4406
Nanded,महाराष्ट्र,19.1383,77.321
Nandesari,गुजरात,22.38,73.15
Narnaul,हरियाणा,28.0451,76.1077
Nashik,महाराष्ट्र,19.9975,73.7898
Navi mumbai,महाराष्ट्र,19.033,73.0297
Nellore,आंध्र प्रदेश,14.4426,79.9865
Noida,उत्तर प्रदेश,28.5355,77.391
Pali,राजस्थान,25.7711,73.3234
Palwal,हरियाणा,28.1447,77.326
Pampore,Jammu and Kashmir,33.99,74.92
Panchgaon,हरियाणा,28.38,76.9
Panchkula,हरियाणा,30.6942,76.8606
Panipat,हरियाणा,29.3909,76.9635
Parbhani,महाराष्ट्र,19.2704,76.7602
Patiala,पंजाब,30.3398,76.3869
Patna,बिहार,25.5941,85.1376
Pimpri-chinchwad,महाराष्ट्र,18.6298,73.7997
Pithampur,मध्य प्रदेश,22.6141,75.682
Pratapgarh,उत्तर प्रदेश,25.8988,81.9412
Prayagraj,उत्तर प्रदेश,25.4358,81.8463
Puducherry,Puducherry,11.9416,79.8083
Pune,महाराष्ट्र,18.5204,73.8567
Purnia,बिहार,25.7771,87.4753
Raebareli,उत्तर प्रदेश,26.2309,81.2338
Raipur,छत्तीसगढ़,21.2514,81.6296
Rairangpur,ओडिशा,22.2667,86.1667
Rajamahendravaram,आंध्र प्रदेश,17.0005,81.804
Rajkot,गुजरात,22.3039,70.8022
Rajsamand,राजस्थान,25.07,73.88
Ramanagara,कर्नाटक,12.7218,77.2817
Ratlam,मध्य प्रदेश,23.3315,75.0367
Rishikesh,उत्तरांचल,30.0869,78.2676
Rohtak,हरियाणा,28.8955,76.6066
Rourkela,ओडिशा,22.2604,84.8536
Rupnagar,पंजाब,30.9685,76.5262
Sagar,मध्य प्रदेश,23.8388,78.7378
Saharsa,बिहार,25.8804,86.6
Samastipur,बिहार,25.8622,85.7796
Sangli,महाराष्ट्र,16.8524,74.5815
Sasaram,बिहार,24.95,84.02
Satara,महाराष्ट्र,17.6805,74.0183
Satna,मध्य प्रदेश,24.5854,80.8322
Sawai madhopur,राजस्थान,26.0173,76.35
Shamli,उत्तर प्रदेश,29.45,77.31
Shillong,मेघालय,25.5788,91.8933
Shivamogga,कर्नाटक,13.9299,75.5681
Sikar,राजस्थान,27.6094,75.1399
Silchar,असम,24.8333,92.7789
Siliguri,पश्चिम बंगाल,26.7271,88.3953
Singrauli,मध्य प्रदेश,24.1994,82.6753
Sirohi,राजस्थान,24.885,72.8608
Sirsa,हरियाणा,29.5321,75.028
Siwan,बिहार,26.2196,84.3562
Solapur,महाराष्ट्र,17.6599,75.9064
Sonipat,हरियाणा,28.9931,77.0151
Sri ganganagar,राजस्थान,29.9094,73.88
Srinagar,Jammu and Kashmir,34.0837,74.7973
Surat,गुजरात,21.1702,72.8311
Talcher,ओडिशा,20.95,85.23
Tensa,ओडिशा,22.05,84.92
Thane,महाराष्ट्र,19.2183,72.9781
Thiruvananthapuram,केरल,8.5241,76.9366
Thoothukudi,तमिलनाडु,8.7642,78.1348
Thrissur,केरल,10.5276,76.2144
Tirumala,आंध्र प्रदेश,13.6833,79.3474
Tirupati,आंध्र प्रदेश,13.6288,79.4192
Tonk,राजस्थान,26.1652,75.7912
Tumakuru,कर्नाटक,13.3379,77.1022
Tumidih,छत्तीसगढ़,22.3,82.6
Udaipur,राजस्थान,24.5854,73.7125
Ujjain,मध्य प्रदेश,23.1793,75.7849
Ulhasnagar,महाराष्ट्र,19.2215,73.1645
Vadodara,गुजरात,22.3072,73.1812
Vapi,गुजरात,20.3711,72.9047
Varanasi,उत्तर प्रदेश,25.3176,82.9739
Vatva,गुजरात,22.97,72.65
Vijayapura,कर्नाटक,16.8302,75.71
Vijayawada,आंध्र प्रदेश,16.5062,80.648
Virar,महाराष्ट्र,19.4559,72.8107
Visakhapatnam,आंध्र प्रदेश,17.6868,83.2185
Vrindavan,उत्तर प्रदेश,27.5806,77.7006
Yadgir,कर्नाटक,16.7691,77.1378
Yamuna nagar,हरियाणा,30.129,77.2674
