Region	Country.code	Country	Country.short	Overall.Index	Overall.Index.Rank	Income.security	Income.security.Rank	Health.status	Health.status.Rank	Capability	Capability.Rank	Enabling.environment	Enabling.environment.Rank	x	y
Malawi	Malawi	Malawi	Malawi	26.5	26.5	26.3	26.3	2.7	2.7	37.1	37.1	5.5	37	31	26
Malaysia	Malaysia	Malaysia	Malaysia	13.3	13.3	2.9	2.9	11.5	11.5	20.7	20.7	0.8	51	37	17
Mali	Mali	Mali	Mali	27.8	27.8	6	6	13.5	13.5	30.4	30.4	11.1	77	38	1
Mauritania	Mauritania	Mauritania	Mauritania	27.3	27.3	11.3	11.3	14.8	14.8	27.9	27.9	8.1	63	12	1
Mauritius	Mauritius	Mauritius	Mauritius	11	11	5.8	5.8	9.4	9.4	8.4	8.4	1.4	64	26	16
Mexico	Mexico	Mexico	Mexico	6.5	6.5	3.8	3.8	1	1	12.4	12.4	1.5	82	59	1
Moldova	Moldova	Moldova	Moldova					3	3	6.8	6.8	1.6	13	1	27
Mongolia	Mongolia	Mongolia	Mongolia	12.6	12.6	18.7	18.7	1	1	10.8	10.8	1.8	53	8	40
Montenegro	Montenegro	Montenegro	Montenegro	5	5	2.5	2.5	2.8	2.8	9.4	9.4	0.4	67	27	11
Morocco	Morocco	Morocco	Morocco	10.4	10.4	3.9	3.9	3.7	3.7	17.4	17.4	2.7	80	49	12
Mozambique	Mozambique	Mozambique	Mozambique	30.9	30.9	30.5	30.5	4.3	4.3	38	38	7.1	7	30	31
Myanmar	Myanmar	Myanmar	Myanmar	20.1	20.1	10.5	10.5	7	7	29.2	29.2	5.1	6	54	35
Namibia	Namibia	Namibia	Namibia	24.3	24.3	25.4	25.4	7.1	7.1	23.1	23.1	4.5	12	25	31
Nepal	Nepal	Nepal	Nepal	21.2	21.2	9.5	9.5	9.7	9.7	35.8	35.8	3.5	61	15	20
Nicaragua	Nicaragua	Nicaragua	Nicaragua	13.6	13.6	16.2	16.2	1.4	1.4	17.3	17.3	2	40	22	1
Niger	Niger	Niger	Niger	30.4	30.4	14.4	14.4	10.3	10.3	42.2	42.2	9.1	88	6	7
Nigeria	Nigeria	Nigeria	Nigeria	31.1	31.1	11.5	11.5	10.8	10.8	43.6	43.6	10.4	70	2	13
North	North	North	North	34	34	43.4	43.4	8.1	8.1	39.8	39.8	2	85	21	7
Oman	Oman	Oman	Oman	10.8	10.8	5.4	5.4	7.5	7.5	14.1	14.1	1.1	57	42	18
Pakistan	Pakistan	Pakistan	Pakistan	32.6	32.6	20.5	20.5	10.5	10.5	45	45	7.9	17	54	29
Panama	Panama	Panama	Panama	9.1	9.1	9.2	9.2	1.1	1.1	13.3	13.3	1.6	93	32	1
Papua	Papua	Papua	Papua	29.7	29.7	26.6	26.6	7.2	7.2	39.7	39.7	5.4	31	18	40
Paraguay	Paraguay	Paraguay	Paraguay	8.5	8.5	11.2	11.2	1	1	5.6	5.6	2	83	17	9
Peru	Peru	Peru	Peru	8.8	8.8	8.8	8.8	1	1	13.1	13.1	1.5	84	7	12
Philippines	Philippines	Philippines	Philippines	20.2	20.2	13.7	13.7	7.1	7.1	33.4	33.4	2.7	84	7	12
Qatar	Qatar	Qatar	Qatar					2.1	2.1	1.6	1.6	0.9	84	7	12
Romania	Romania	Romania	Romania	5	5	2.5	2.5	3	3	7.6	7.6	0.9	84	7	12
Russian	Russian	Russian	Russian	6.1	6.1	2.5	2.5	4.2	4.2	11.3	11.3	0.8	84	7	12
Rwanda	Rwanda	Rwanda	Rwanda	28.7	28.7	36.1	36.1	2	2	37.3	37.3	3.9	84	7	12
Saudi	Saudi	Saudi	Saudi	8.5	8.5	5.5	5.5	5.4	5.4	8.2	8.2	1.3	84	7	12
Senegal	Senegal	Senegal	Senegal	17.2	17.2	11.3	11.3	7.2	7.2	17	17	4.7	84	7	12
Serbia	Serbia	Serbia	Serbia	6.5	6.5	5.6	5.6	3.9	3.9	6	6	0.6	84	7	12
Sierra	Sierra	Sierra	Sierra	35.7	35.7	25.5	25.5	9.4	9.4	37.9	37.9	11.4	84	7	12
Slovak	Slovak	Slovak	Slovak	5	5	2.7	2.7	3.4	3.4	5.8	5.8	0.6	84	7	12
Somalia	Somalia	Somalia	Somalia			50.6	50.6					13.3	84	7	12
South	South	South	South	14.5	14.5	6.1	6.1	2.5	2.5	27.4	27.4	4.3	84	7	12
South	South	South	South					28.6	28.6	37.6	37.6	9.1	84	7	12
Sri	Sri	Sri	Sri	17.9	17.9	10.9	10.9	15.1	15.1	17.3	17.3	0.9	84	7	12
Sudan	Sudan	Sudan	Sudan	34.8	34.8	25.2	25.2	16.3	16.3	38.2	38.2	6.5	84	7	12
Suriname	Suriname	Suriname	Suriname	10.2	10.2	7.6	7.6	5.2	5.2	9.5	9.5	2	84	7	12
Swaziland	Swaziland	Swaziland	Swaziland	22.5	22.5	20.7	20.7	2	2	25.5	25.5	7	84	7	12
Syrian	Syrian	Syrian	Syrian									1.8	84	7	12
Tajikistan	Tajikistan	Tajikistan	Tajikistan					6.7	6.7	24.8	24.8	4.3	84	7	12
Tanzania	Tanzania	Tanzania	Tanzania	29.5	29.5	32	32	4.5	4.5	34.4	34.4	5.7	84	7	12
Thailand	Thailand	Thailand	Thailand	10.4	10.4	9	9	5.4	5.4	10.5	10.5	1.2	84	7	12
Timor-Leste	Timor-Leste	Timor-Leste	Timor-Leste	34.2	34.2	27.2	27.2	11	11	50.2	50.2	5	84	7	12
Togo	Togo	Togo	Togo	24.3	24.3	16.2	16.2	6.7	6.7	27.5	27.5	7.6	84	7	12
Trinidad	Trinidad	Trinidad	Trinidad	8	8	4.9	4.9	5.1	5.1	5.7	5.7	1.9	84	7	12
Tunisia	Tunisia	Tunisia	Tunisia	7.9	7.9	4.9	4.9	3.4	3.4	10.9	10.9	1.4	84	7	12
Turkey	Turkey	Turkey	Turkey	5	5	2.5	2.5	1.7	1.7	9.5	9.5	1.3	84	7	12
Turkmenistan	Turkmenistan	Turkmenistan	Turkmenistan	12.2	12.2	5.5	5.5	4.2	4.2	11.5	11.5	5.1	84	7	12
Uganda	Uganda	Uganda	Uganda	31.2	31.2	41.4	41.4	3.6	3.6	28.9	28.9	5.3	84	7	12
Ukraine	Ukraine	Ukraine	Ukraine	5	5	3.3	3.3	1.4	1.4	6.6	6.6	0.9	84	7	12
Uruguay	Uruguay	Uruguay	Uruguay	5	5	2.5	2.5	2	2	9.3	9.3	0.9	84	7	12
Uzbekistan	Uzbekistan	Uzbekistan	Uzbekistan	12.1	12.1	7.4	7.4	5.8	5.8	14.8	14.8	2.4	84	7	12
Venezuela	Venezuela	Venezuela	Venezuela	11.4	11.4	11.7	11.7	3.5	3.5	13	13	1.6	84	7	12
Viet	Viet	Viet	Viet	16	16	10.8	10.8	6.4	6.4	24.6	24.6	2.2	84	7	12
Yemen	Yemen	Yemen	Yemen	39.7	39.7	34.4	34.4	16.3	16.3	46.5	46.5	5.5	84	7	12
Zambia	Zambia	Zambia	Zambia	37.6	37.6	44.5	44.5	6.3	6.3	40	40	6.3	84	7	12
Zimbabwe	Zimbabwe	Zimbabwe	Zimbabwe	32.9	32.9	46.6	46.6	3.2	3.2	26.8	26.8	5.6	84	7	12
